"","experiment","virus_copy","ratio"
"1","19","2000",0.110374886627028
"2","19","500",0.00447397855122047
"3","19","2000",0.0988104310944697
"4","19","500",0.0256183540033041
"5","19","2000",0.0321802091713596
"6","19","500",0.0272519048286823
"7","19","2000",0.373213637413776
"8","19","500",0.140861991289983
"9","19","2000",0.0612898135833916
"10","19","500",0.0434316528066528
"11","19","500",0.0253222667009438
"12","19","2000",0.100205296653665
"13","19","500",0.0381543336193808
"14","19","2000",0.102819110278086
"15","19","500",0.0359804851605909
"16","19","2000",0.0373648958165678
"17","19","500",0.00817364354620455
"18","19","2000",0.0591086979515566
"19","19","500",0.0209030513839205
"20","19","2000",0.0331641033298492
"21","19","500",0.0312349252291365
"22","19","2000",0.0389669721318965
"23","19","500",0.0232653584712069
"24","19","2000",0.0490761355635478
"25","19","500",0.0270064943021689
"26","19","2000",0.071172576632795
"27","19","500",0.0165207742571816
"28","20","500",1.39800139687315
"29","20","500",0.0669921534437663
"30","20","500",0.883302813384385
"31","20","500",4.06629566900556
"32","20","500",0.00752971340752354
"33","20","500",0.748656185587843
"34","20","500",0.106022775714025
"35","20","500",0.888211603352563
"36","20","500",0.163228575384189
"37","20","500",1.49647094158282
"38","20","500",0.410278090943254
"39","20","500",0.162159335717722
"40","20","500",2.82020018198362
"41","20","500",0.217415513770506
"42","20","500",0.71866986516668
"43","20","500",0.0469383160738406
"44","20","500",0.77530841237369
"45","20","500",0.313336376522596
"46","21","500",1.38482632541133
"47","21","500",0.0677969298080187
"48","21","500",0.889001392228832
"49","21","500",4.09083930399181
"50","21","500",0.00711081575012461
"51","21","500",0.734090371421812
"52","21","500",0.107607795921439
"53","21","500",0.902491357730361
"54","21","500",0.170264401583855
"55","21","500",1.43751721604995
"56","21","500",0.411815736965386
"57","21","500",0.167899441847801
"58","21","500",2.83920187793427
"59","21","500",0.222670509125841
"60","21","500",0.723192232348182
"61","21","500",0.0479585531631732
"62","21","500",0.724405295637956
"63","21","500",0.292939936775553
"64","21","2000",0.125849491863583
"65","21","500",0.00525
"66","21","2000",0.10818631894568
"67","21","500",0.0308368565868063
"68","21","500",0.0310781318201659
"69","21","2000",0.399978902211751
"70","21","500",0.15162527760953
"71","21","2000",0.0676465867137517
"72","21","500",0.0482420826623725
"73","21","500",0.0286212440278061
"74","21","2000",0.110283987915408
"75","21","500",0.0415258329309512
"76","21","2000",0.118876189517144
"77","21","500",0.0402567240216767
"78","21","2000",0.042845717980568
"79","21","500",0.00882052591268828
"80","21","2000",0.0702318977756744
"81","21","500",0.0215837228485015
"82","21","2000",0.035232598922297
"83","21","500",0.0326052659257441
"84","21","2000",0.0443908807873858
"85","21","500",0.0246800152071981
"86","21","2000",0.0544967179552122
"87","21","500",0.0306853770175861
"88","21","2000",0.0790475154941829
"89","21","500",0.0178374143784023
